,titulos,empresa,todas_salario,todos_local,url
12,Analista de Banco de Dados,GRUPO VOALLE,A Combinar,Santa Maria - RS (1),https://www.catho.com.br/vagas/analista-de-banco-de-dados/24394080/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Estagiário(a) - Análise de dados e relatórios,AUTOGLASS,A Combinar,Vila Velha - ES (1),https://www.catho.com.br/vagas/estagiarioa-analise-de-dados-e-relatorios/24142245/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Estágio em Procurement (Analise de Dados em Compras),AMCOR,"De R$ 1.001,00 a R$ 2.000,00",Maua - SP (1),https://www.catho.com.br/vagas/estagio-em-procurement-analise-de-dados-em-compras/24381146/?origem_apply=busca-de-vagas&entrada_apply=direto
0,ANALISTA DLP e PROTEÇÃO DE DADOS SR,NAVA SERVICES,A Combinar,Osasco - SP (1),https://www.catho.com.br/vagas/analista-dlp-e-protecao-de-dados-sr/23895535/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Inteligência Operacional e Dados Sr,CLÍNICA SIM,A Combinar,Fortaleza - CE (1),https://www.catho.com.br/vagas/analista-de-inteligencia-operacional-e-dados-sr/23871076/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados (Foco em Crédito) - Vaga Afirmativa Para Mulheres,SHOPEE BRASIL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-foco-em-credito-vaga-afirmativa-para-mulheres/24372572/?origem_apply=busca-de-vagas&entrada_apply=direto
3,"ANALISTA DE PROTEÇÃO DE DADOS SR - DISCOVERY, PROTEÇÃO E CRIPTOGRAFIA",NAVA SERVICES,A Combinar,Osasco - SP (1),https://www.catho.com.br/vagas/analista-de-protecao-de-dados-sr-discovery-protecao-e-criptografia/23895469/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Estágio em Análise de Dados,SIEMENS,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/estagio-em-analise-de-dados/24421568/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Analista de Banco de Dados,Empresa ConfidencialPor que?,A Combinar,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-banco-de-dados/22257099/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista Produtos e Negócios II - Atuação em Análise de Dados,CECRED,A Combinar,Blumenau - SC (1),https://www.catho.com.br/vagas/analista-produtos-e-negocios-ii-atuacao-em-analise-de-dados/24402561/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados,HOSPITAL E MATERNIDADE SANTA JOANA,"De R$ 8.001,00 a R$ 9.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24366547/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de dados,Empresa ConfidencialPor que?,A Combinar,Valinhos - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24203711/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista em dados,Empresa ConfidencialPor que?,"De R$ 4.001,00 a R$ 5.000,00",Salvador - BA (1),https://www.catho.com.br/vagas/analista-em-dados/24107965/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados,FUNDAÇÃO ZERRENNER,"De R$ 5.001,00 a R$ 6.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24283731/?origem_apply=busca-de-vagas&entrada_apply=direto
11,Analista de dados - Excelência Operacional,LSG SKY CHEFS,A Combinar,Guarulhos - SP (1),https://www.catho.com.br/vagas/analista-de-dados-excelencia-operacional/24035351/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados,INTEGRAR CAPACITACAO E DESENVOLVIMENTO PROFISSIONAL LTDA,A Combinar,Ribeirão Preto - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24140723/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista de Dados,GMP RECURSOS HUMANOS,"De R$ 5.001,00 a R$ 6.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24340001/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Dados,IMEX MEDICAL GROUP,"De R$ 2.001,00 a R$ 3.000,00",São Jose - SC (1),https://www.catho.com.br/vagas/analista-de-dados/24340762/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados,Empresa ConfidencialPor que?,"De R$ 2.001,00 a R$ 3.000,00",Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados/24253437/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Dados,Empresa ConfidencialPor que?,"De R$ 3.001,00 a R$ 4.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24172197/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Risco Dados,EMFC CONSULTORIA,"De R$ 7.001,00 a R$ 8.000,00",Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-risco-dados/24366760/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Governança de Dados III,ORIZON BRASIL,"De R$ 7.001,00 a R$ 8.000,00",Barueri - SP (1),https://www.catho.com.br/vagas/analista-de-governanca-de-dados-iii/24253293/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados,Empresa ConfidencialPor que?,"De R$ 2.001,00 a R$ 3.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24253066/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Analista de Dados,TRANSFORMA E CAPACITA CONSULTORIA,"De R$ 2.001,00 a R$ 3.000,00",Ribeirão Preto - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24139177/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados,BRASLAB,"De R$ 2.001,00 a R$ 3.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23959166/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de Dados,LP GUIZILIM,A Combinar,Maracanau - CE (1),https://www.catho.com.br/vagas/analista-de-dados/23987570/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Dados,Empresa ConfidencialPor que?,"De R$ 3.001,00 a R$ 4.000,00",Arujá - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23907157/?origem_apply=busca-de-vagas&entrada_apply=direto
9,Analista de Dados,Empresa ConfidencialPor que?,A Combinar,São Paulo - SP (2),https://www.catho.com.br/vagas/analista-de-dados/23842225/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de dados,AITOMOTIVE IMPORT\`S,A Combinar,Arujá - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23741094/?origem_apply=busca-de-vagas&entrada_apply=direto
11,ANALISTA DE DADOS,RODOBENS,A Combinar,São José do Rio Preto - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24015238/?origem_apply=busca-de-vagas&entrada_apply=direto
12,Analista de Dados,Tech For TI,"De R$ 6.001,00 a R$ 7.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23974954/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista de Dados,LOTÉRICA CHACAL,"De R$ 3.001,00 a R$ 4.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23759274/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Dados,AQUECENORTE,"De R$ 2.001,00 a R$ 3.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23697662/?origem_apply=busca-de-vagas&entrada_apply=direto
0,Analista de Dados,Avell Notebooks,"De R$ 4.001,00 a R$ 5.000,00",Joinville - SC (1),https://www.catho.com.br/vagas/analista-de-dados/23667328/?origem_apply=busca-de-vagas&entrada_apply=direto
1,ANALISTA DE DADOS,Empresa ConfidencialPor que?,"De R$ 2.001,00 a R$ 3.000,00",Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados/22834726/?origem_apply=busca-de-vagas&entrada_apply=direto
2,ANALISTA DE DADOS,A Opus Solutio em parceria com empresa confidencial localizada na Zona Sul de São Paulo,"De R$ 3.001,00 a R$ 4.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23504293/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Dados,Empresa ConfidencialPor que?,"De R$ 4.001,00 a R$ 5.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23451005/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados,Empresa ConfidencialPor que?,A Combinar,Cotia - SP (1),https://www.catho.com.br/vagas/analista-de-dados/23448800/?origem_apply=busca-de-vagas&entrada_apply=direto
5,Analista de Dados,Empresa ConfidencialPor que?,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/22816850/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados Sênior,DTC RECRUTAMENTO,A Combinar,Curitiba - PR (1),https://www.catho.com.br/vagas/analista-de-dados-senior/24140254/?origem_apply=busca-de-vagas&entrada_apply=direto
7,ANALISTA DE DADOS PLENO,EVIDENCIA LOGISTICA TRANSPORTE LTDA,A Combinar,Guarulhos - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24003059/?origem_apply=busca-de-vagas&entrada_apply=direto
8,ANALISTA DE DADOS JR,Ph Comercio de Celulares Ltda,"De R$ 1.001,00 a R$ 2.000,00",Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-dados-jr/24353932/?origem_apply=busca-de-vagas&entrada_apply=direto
